sr,title,link,guid,latitude,longitude,gid,monumentna,descriptio,location,district,state,asicircle,photo,mon_num,pb_name
0,monuments2.fid-3f3c22b6_1667d4434db_44be,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44be,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44be,28.603323,77.198151,12067,Shikargah Kusak,Shikargah Kusak,Teen Murti Bhawan,New Delhi,Delhi,Delhi Mini Circle,DLMDL135.jpg,DLMDL135,DLM135
1,monuments2.fid-3f3c22b6_1667d4434db_44bf,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44bf,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44bf,28.58133,77.231309,12068,Unknown Tomb in the vicinitty of Jawahar Lal Nehru Stadium,Unknown Tomb in the vicinitty of Jawahar Lal Nehru Stadium,"Pragati Vihar, New Delhi",South,Delhi,Delhi Mini Circle,DLMDL174.jpg,DLMDL174,DLM174
2,monuments2.fid-3f3c22b6_1667d4434db_44c0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c0,28.627473,77.216701,12069,Jantar Mantar,Jantar Mantar,Cannought Place,New Delhi,Delhi,Delhi Mini Circle,DLMDL023.jpg,DLMDL023,DLM023
3,monuments2.fid-3f3c22b6_1667d4434db_44c1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c1,28.593306,77.250726,11299,"Humayun's tomb, its platforms","Humayun's tomb, its platforms",Nizamuddin,South East,Delhi,Delhi Circle,DELDL127A.JPG,DELDL127A,DL127A
4,monuments2.fid-3f3c22b6_1667d4434db_44c2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c2,28.592463,77.247118,11300,"Humayun's tomb, its platforms, garden, enclosure walls and gateways Khasra No. 258 bounded on the east by Khasra No.180&181&244 of Miri Singh and on west by Kh. No. 268&253 on the north by Khasra No. 266, on the south by Kh No. 245 of Miri Singh & Kh. No","Humayun's tomb, its platforms, garden, enclosure walls and gateways Khasra No. 258 bounded on the east by Khasra No.180&181&244 of Miri Singh and on west by Kh. No. 268&253 on the north by Khasra No. 266, on the south by Kh No. 245 of Miri Singh & Kh. No",Nizamuddin,South East,Delhi,Delhi Circle,DELDL127B.JPG,DELDL127B,DL127B
5,monuments2.fid-3f3c22b6_1667d4434db_44c3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c3,28.565007,77.187884,11301,"Unnamed tomb, Mohammad Pur Village","Unnamed tomb, Mohammad Pur Village",Mohammad Pur Village,South,Delhi,Delhi Circle,DELDL110.JPG,DELDL110,DL110
6,monuments2.fid-3f3c22b6_1667d4434db_44c4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c4,28.588039,77.247928,11302,Tomb of Khan-i-Khana,Tomb of Khan-i-Khana,Nizamuddin,South East,Delhi,Delhi Circle,DELDL133.JPG,DELDL133,DL133
7,monuments2.fid-3f3c22b6_1667d4434db_44c5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c5,28.531588,77.223234,11303,Sat pula,Sat pula,Khirki Village near Malviya Nagar,South,Delhi,Delhi Circle,DELDL087.JPG,DELDL087,DL087
8,monuments2.fid-3f3c22b6_1667d4434db_44c6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c6,28.505062,77.267324,11304,"Walls, gate and bastions of Adilabad (Mohammadabad) and causeway leading there to from Tughlakabad.","Walls, gate and bastions of Adilabad (Mohammadabad) and causeway leading there to from Tughlakabad.",Tughlaqabad,South East,Delhi,Delhi Circle,DELDL145.JPG,DELDL145,DL145
9,monuments2.fid-3f3c22b6_1667d4434db_44c7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_44c7,28.572319,77.222252,11305,Mosque attached to Mubarak shah Tomb,Mosque attached to Mubarak shah Tomb,Kotla Mubrakpur Village,South,Delhi,Delhi Circle,DELDL107.JPG,DELDL107,DL107
